sample	cancer_type	sample_type	expression
TCGA-49-AARN-01	LUAD	Primary Tumor	5.92
TCGA-49-AARO-01	LUAD	Primary Tumor	5.63
TCGA-49-AARQ-01	LUAD	Primary Tumor	4.75
TCGA-49-AARR-01	LUAD	Primary Tumor	6.8
TCGA-4A-A93W-01	KIRP	Primary Tumor	6.08
TCGA-4A-A93X-01	KIRP	Primary Tumor	5
TCGA-4A-A93Y-01	KIRP	Primary Tumor	6.28
TCGA-4B-A93V-01	LUAD	Primary Tumor	6.15
TCGA-4C-A93U-01	THCA	Primary Tumor	4.35
TCGA-4E-A92E-01	UCEC	Primary Tumor	7.04
TCGA-4H-AAAK-01	BRCA	Primary Tumor	6.94
TCGA-4L-AA1F-01	PRAD	Primary Tumor	5.77
TCGA-4N-A93T-01	COAD	Primary Tumor	6.09
TCGA-4P-AA8J-01	HNSC	Primary Tumor	6.18
TCGA-4R-AA8I-01	LIHC	Primary Tumor	6.54
TCGA-4T-AA8H-01	COAD	Primary Tumor	5.76
TCGA-50-5044-01	LUAD	Primary Tumor	6.1
TCGA-50-5045-01	LUAD	Primary Tumor	5.42
TCGA-50-5049-01	LUAD	Primary Tumor	5.65
TCGA-50-5051-01	LUAD	Primary Tumor	6.05
TCGA-50-5055-01	LUAD	Primary Tumor	5.74
TCGA-50-5066-01	LUAD	Primary Tumor	5.2
TCGA-50-5068-01	LUAD	Primary Tumor	6.2
TCGA-50-5072-01	LUAD	Primary Tumor	4.67
TCGA-50-5930-01	LUAD	Primary Tumor	5.49
TCGA-50-5930-11	LUAD	Solid Tissue Normal	6.71
TCGA-50-5931-01	LUAD	Primary Tumor	5.03
TCGA-50-5931-11	LUAD	Solid Tissue Normal	6.27
TCGA-50-5932-01	LUAD	Primary Tumor	5.44
TCGA-50-5932-11	LUAD	Solid Tissue Normal	6.3
TCGA-50-5933-01	LUAD	Primary Tumor	4.7
TCGA-50-5933-11	LUAD	Solid Tissue Normal	6.03
TCGA-50-5935-01	LUAD	Primary Tumor	6.49
TCGA-50-5935-11	LUAD	Solid Tissue Normal	6.73
TCGA-50-5936-01	LUAD	Primary Tumor	4.77
TCGA-50-5936-11	LUAD	Solid Tissue Normal	6.59
TCGA-50-5939-01	LUAD	Primary Tumor	4.99
TCGA-50-5939-11	LUAD	Solid Tissue Normal	6.5
TCGA-50-5941-01	LUAD	Primary Tumor	6.32
TCGA-50-5942-01	LUAD	Primary Tumor	6.23
TCGA-50-5944-01	LUAD	Primary Tumor	5.87
TCGA-50-5946-01	LUAD	Primary Tumor	6.69
TCGA-50-6590-01	LUAD	Primary Tumor	5.87
TCGA-50-6591-01	LUAD	Primary Tumor	5.91
TCGA-50-6592-01	LUAD	Primary Tumor	4.4
TCGA-50-6593-01	LUAD	Primary Tumor	5.16
TCGA-50-6594-01	LUAD	Primary Tumor	5.86
TCGA-50-6595-01	LUAD	Primary Tumor	6.35
TCGA-50-6595-11	LUAD	Solid Tissue Normal	6.64
